活动号,行业分类,业务类型,业务项
9082808341,A1 运营商,集团采购,其他
10121458761,A1 运营商,集团采购,其他
11030168673,A1 运营商,集团采购,其他
12010655455,A1 运营商,集团采购,实物营销
12010655458,A1 运营商,集团采购,实物营销
11092822174,A1 运营商,集团采购,实物营销
12010655683,A1 运营商,集团采购,实物营销
12022901554,A1 运营商,集团采购,实物营销
12010655682,A1 运营商,集团采购,实物营销
12013000495,A1 运营商,集团采购,其他
11110735986,A1 运营商,集团采购,其他
11090615528,A1 运营商,集团采购,其他
11090615527,A1 运营商,集团采购,其他
11090615531,A1 运营商,集团采购,其他
11090615532,A1 运营商,集团采购,其他
11090615533,A1 运营商,集团采购,其他
11090615534,A1 运营商,集团采购,其他
11090615535,A1 运营商,集团采购,其他
11090615536,A1 运营商,集团采购,其他
11090615529,A1 运营商,集团采购,其他
11090615530,A1 运营商,集团采购,其他
11090615537,A1 运营商,集团采购,其他
11120545758,A1 运营商,集团采购,实物营销
12021400734,A1 运营商,集团采购,实物营销
12022401016,A1 运营商,集团采购,实物营销
12031902131,A1 运营商,集团采购,实物营销
11091317151,A1 运营商,集团采购,其他
11091317147,A1 运营商,集团采购,其他
11091317153,A1 运营商,集团采购,其他
11091317152,A1 运营商,集团采购,其他
11120144527,A1 运营商,电子商务,生活服务类电子商务
12013100512,A1 运营商,电子商务,生活服务类电子商务
12022000969,A1 运营商,电子商务,生活服务类电子商务
12020200543,A1 运营商,电子商务,生活服务类电子商务
12030101652,A1 运营商,电子商务,生活服务类电子商务
12030101662,A1 运营商,电子商务,生活服务类电子商务
12030101650,A1 运营商,电子商务,生活服务类电子商务
12030101651,A1 运营商,电子商务,生活服务类电子商务
12030101660,A1 运营商,电子商务,生活服务类电子商务
12030101661,A1 运营商,电子商务,生活服务类电子商务
12030101670,A1 运营商,电子商务,生活服务类电子商务
12030101671,A1 运营商,电子商务,生活服务类电子商务
12022901560,A1 运营商,电子商务,生活服务类电子商务
12030101649,A1 运营商,电子商务,生活服务类电子商务
12030101659,A1 运营商,电子商务,生活服务类电子商务
12030101669,A1 运营商,电子商务,生活服务类电子商务
12020200542,A1 运营商,电子商务,生活服务类电子商务
12011300055,A1 运营商,电子商务,生活服务类电子商务
12022901559,A1 运营商,电子商务,生活服务类电子商务
12011156970,A1 运营商,电子商务,生活服务类电子商务
12011156975,A1 运营商,电子商务,生活服务类电子商务
12011156969,A1 运营商,电子商务,生活服务类电子商务
12011156971,A1 运营商,电子商务,生活服务类电子商务
12011156974,A1 运营商,电子商务,生活服务类电子商务
12011156972,A1 运营商,电子商务,生活服务类电子商务
12030101657,A1 运营商,电子商务,生活服务类电子商务
12030101667,A1 运营商,电子商务,生活服务类电子商务
12011156990,A1 运营商,电子商务,生活服务类电子商务
12011156973,A1 运营商,电子商务,生活服务类电子商务
12011300056,A1 运营商,电子商务,生活服务类电子商务
12011700188,A1 运营商,电子商务,生活服务类电子商务
12011700189,A1 运营商,电子商务,生活服务类电子商务
12011700190,A1 运营商,电子商务,生活服务类电子商务
12011700191,A1 运营商,电子商务,生活服务类电子商务
12030101648,A1 运营商,电子商务,生活服务类电子商务
12030101653,A1 运营商,电子商务,生活服务类电子商务
12030101658,A1 运营商,电子商务,生活服务类电子商务
12030101663,A1 运营商,电子商务,生活服务类电子商务
12030101668,A1 运营商,电子商务,生活服务类电子商务
12030101654,A1 运营商,电子商务,生活服务类电子商务
12030101664,A1 运营商,电子商务,生活服务类电子商务
